ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
69,0,0,69:0:0,-4.4,Cc1ccsc1C,True
69,0,1,69:0:1,-4.3,Cc1ccsc1C,False
70,0,0,70:0:0,-6.6,Cc1ccc2nccc(C)c2n1,True
70,0,1,70:0:1,-6.5,Cc1ccc2nccc(C)c2n1,False
71,0,0,71:0:0,-5.6,Clc1cnn2ccnc2c1,True
71,0,1,71:0:1,-4.9,Clc1cnn2ccnc2c1,False
72,0,0,72:0:0,-6.0,Cc1cnc2cccnc2c1,True
72,0,1,72:0:1,-5.9,Cc1cnc2cccnc2c1,False
73,0,0,73:0:0,-9.6,COc1cccc(C=C2Cc3ccccc3C2=O)c1,True
73,0,1,73:0:1,-9.2,COc1cccc(C=C2Cc3ccccc3C2=O)c1,False
74,0,0,74:0:0,-8.0,FC1(F)Oc2cc(Cl)c(-c3ccon3)cc2O1,True
74,0,1,74:0:1,-7.9,FC1(F)Oc2cc(Cl)c(-c3ccon3)cc2O1,False
75,0,0,75:0:0,-6.2,c1cnc2cc3cnccn3c2c1,True
75,0,1,75:0:1,-6.2,c1cnc2cc3cnccn3c2c1,False
76,0,0,76:0:0,-3.8,c1ccoc1,True
76,0,1,76:0:1,-3.5,c1ccoc1,False
77,0,0,77:0:0,-7.9,c1ccc(-n2ccc(-c3ccncc3)n2)cc1,True
77,0,1,77:0:1,-7.7,c1ccc(-n2ccc(-c3ccncc3)n2)cc1,False
78,0,0,78:0:0,-5.3,c1cnc2ncoc2c1,True
78,0,1,78:0:1,-5.3,c1cnc2ncoc2c1,False
79,0,0,79:0:0,-5.4,c1cnc2ccoc2c1,True
79,0,1,79:0:1,-4.9,c1cnc2ccoc2c1,False
80,0,0,80:0:0,-4.5,c1cn2ccsc2n1,True
80,0,1,80:0:1,-3.9,c1cn2ccsc2n1,False
81,0,0,81:0:0,-5.4,c1cnc2ccoc2c1,True
81,0,1,81:0:1,-4.9,c1cnc2ccoc2c1,False
82,0,0,82:0:0,-5.1,c1cnn2ccnc2c1,True
82,0,1,82:0:1,-4.9,c1cnn2ccnc2c1,False
83,0,0,83:0:0,-5.7,Fc1cccc2nccnc12,True
83,0,1,83:0:1,-5.6,Fc1cccc2nccnc12,False
84,0,0,84:0:0,-7.2,c1csc(-c2ccc3ncccc3n2)c1,True
84,0,1,84:0:1,-7.1,c1csc(-c2ccc3ncccc3n2)c1,False
85,0,0,85:0:0,-5.0,c1cnc2nccnc2c1,True
85,0,1,85:0:1,-5.0,c1cnc2nccnc2c1,False
86,0,0,86:0:0,-5.3,c1cnc2scnc2c1,True
86,0,1,86:0:1,-4.7,c1cnc2scnc2c1,False
87,0,0,87:0:0,-5.5,c1cnc2cncnc2c1,True
87,0,1,87:0:1,-5.1,c1cnc2cncnc2c1,False
88,0,0,88:0:0,-7.7,c1ccc2nn3cccc3c2cc1,True
88,0,1,88:0:1,-7.5,c1ccc2nn3cccc3c2cc1,False
89,0,0,89:0:0,-6.5,Oc1cc(Cl)cc2cccnc12,True
89,0,1,89:0:1,-6.4,Oc1cc(Cl)cc2cccnc12,False
90,0,0,90:0:0,-5.1,c1cnc2ccnn2c1,True
90,0,1,90:0:1,-4.7,c1cnc2ccnn2c1,False
