ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
25,0,0,25:0:0,-3.00897,[H]ON=C1OC2([H])OC3(S(=O)OC([H])([H])C2(O[H])C1([H])[H])C([H])([H])C1([H])C(C([H])([H])[H])(C([H])([H])[H])OC([H])(O[H])C2(O[H])C(=O)C4(C([H])([H])[H])C([H])(OC(OC5([H])OC([H])(C([H])([H])[H])C([H])(O[H])C5([H])O[H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C21OC41C([H])([H])C([H])(C([H])([H])[H])OC2([H])OC4(C([H])([H])[H])C([H])([H])C([H])([H])C2(C2([H])OC(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])C23[H])C41[H],True
25,0,1,25:0:1,-1.15875,[H]ON=C1OC2([H])OC3(S(=O)OC([H])([H])C2(O[H])C1([H])[H])C([H])([H])C1([H])C(C([H])([H])[H])(C([H])([H])[H])OC([H])(O[H])C2(O[H])C(=O)C4(C([H])([H])[H])C([H])(OC(OC5([H])OC([H])(C([H])([H])[H])C([H])(O[H])C5([H])O[H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C21OC41C([H])([H])C([H])(C([H])([H])[H])OC2([H])OC4(C([H])([H])[H])C([H])([H])C([H])([H])C2(C2([H])OC(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])C23[H])C41[H],False
25,1,0,25:1:0,-2.73783,[H]ON=C1OC2([H])OC3(S(=O)OC([H])([H])C2(O[H])C1([H])[H])C([H])([H])C1([H])C(C([H])([H])[H])(C([H])([H])[H])OC([H])(O[H])C2(O[H])C(=O)C4(C([H])([H])[H])C([H])(OC(OC5([H])OC([H])(C([H])([H])[H])C([H])(O[H])C5([H])O[H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C21OC41C([H])([H])C([H])(C([H])([H])[H])OC2([H])OC4(C([H])([H])[H])C([H])([H])C([H])([H])C2(C2([H])OC(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])C23[H])C41[H],True
25,1,1,25:1:1,-1.87799,[H]ON=C1OC2([H])OC3(S(=O)OC([H])([H])C2(O[H])C1([H])[H])C([H])([H])C1([H])C(C([H])([H])[H])(C([H])([H])[H])OC([H])(O[H])C2(O[H])C(=O)C4(C([H])([H])[H])C([H])(OC(OC5([H])OC([H])(C([H])([H])[H])C([H])(O[H])C5([H])O[H])(C([H])([H])[H])C([H])(O[H])C([H])([H])[H])C21OC41C([H])([H])C([H])(C([H])([H])[H])OC2([H])OC4(C([H])([H])[H])C([H])([H])C([H])([H])C2(C2([H])OC(OC([H])([H])[H])(C([H])([H])[H])OC([H])([H])C23[H])C41[H],False
26,0,0,26:0:0,-2.69307,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],True
26,0,1,26:0:1,-2.56099,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],False
26,0,2,26:0:2,-2.47264,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],False
26,1,0,26:1:0,-3.78238,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],True
26,1,1,26:1:1,-3.24549,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],False
26,1,2,26:1:2,-3.18508,[H]OC1([H])C2(C([H])([H])[H])OC([H])([H])C34C([H])([H])C(O[H])(OC5(O[H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C5([H])C13O[H])C1([H])S(=O)C(C([H])([H])[H])(C([H])([H])C1([H])[H])C4([H])C([H])([H])C([H])([H])C1(O[H])C(=C([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C12O[H],False
