ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
17,0,0,17:0:0,-4.33176,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,True
17,0,1,17:0:1,-3.74066,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,False
17,0,2,17:0:2,-3.43944,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,False
17,1,0,17:1:0,-2.9127,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])N(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,True
17,1,1,17:1:1,-2.68582,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])N(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,False
17,1,2,17:1:2,-2.56535,[H]c1c([H])c(C([H])([H])n2c([H])nc3sc4c(c3c2=O)C([H])([H])C([H])([H])N(C([H])([H])[H])C4([H])[H])c([H])c2c1OC([H])([H])O2,False
18,0,0,18:0:0,-3.61771,[H]C1=C([H])C2=C3C(=C([H])C4=C([H])n5c(c([H])c6c([H])c([H])c([H])c([H])c65)C(=C1[H])N2C4=O)C1([H])OC([H])([H])C31[H],True
18,0,1,18:0:1,-3.50997,[H]C1=C([H])C2=C3C(=C([H])C4=C([H])n5c(c([H])c6c([H])c([H])c([H])c([H])c65)C(=C1[H])N2C4=O)C1([H])OC([H])([H])C31[H],False
18,0,2,18:0:2,-2.85247,[H]C1=C([H])C2=C3C(=C([H])C4=C([H])n5c(c([H])c6c([H])c([H])c([H])c([H])c65)C(=C1[H])N2C4=O)C1([H])OC([H])([H])C31[H],False
19,0,0,19:0:0,-3.33868,[H]c1c([H])c([H])c(C([H])([H])N2C3=[N+]([H])C([H])([H])C([H])([H])N3C([H])([H])c3c(n([H])c4c([H])c([H])c([H])c([H])c34)C2([H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],True
