ligand_number,enumeration,conformer_number,name,score,smiles,lowest_conformer
26,0,1,26:0:1,-3.21504,[H]OC1([H])C2(O[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C2(C([H])=C([H])[H])C2(O[H])C([H])(O[H])C3([H])C([H])(OC(=O)C3(C([H])([H])[H])C([H])([H])[H])C1(O[H])C([H])(O[H])C1(O[H])C3([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C3([H])C([H])([H])C3([H])S(=O)C4(O[H])C([H])(O[H])C5(C([H])([H])C(=O)C([H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])C(O[H])(C(=O)OC([H])([H])[H])C35OC4(C([H])([H])[H])C([H])([H])[H])C12[H],False
26,0,2,26:0:2,-2.77125,[H]OC1([H])C2(O[H])C(=O)C([H])([H])C([H])([H])C([H])([H])C2(C([H])=C([H])[H])C2(O[H])C([H])(O[H])C3([H])C([H])(OC(=O)C3(C([H])([H])[H])C([H])([H])[H])C1(O[H])C([H])(O[H])C1(O[H])C3([H])C([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C3([H])C([H])([H])C3([H])S(=O)C4(O[H])C([H])(O[H])C5(C([H])([H])C(=O)C([H])(C(O[H])(C([H])([H])[H])C([H])([H])[H])C(O[H])(C(=O)OC([H])([H])[H])C35OC4(C([H])([H])[H])C([H])([H])[H])C12[H],False
27,0,0,27:0:0,-1.71993,[H]OC1(C(=O)OC([H])([H])[H])C(=O)C2(O[H])C([H])(O[H])C3(O[H])C4([H])OS(=O)C5([H])C([H])([H])C6([H])C([H])(C(=O)OC6(C([H])([H])[H])C([H])([H])[H])C6(C([H])([H])[H])OC6([H])C26C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C(O[H])(C(=O)C([H])([H])[H])C(C([H])([H])O4)(C3([H])OC(=O)C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C5(C([H])([H])[H])C16O[H],True
29,0,0,29:0:0,-3.35636,[H]OC(C([H])([H])[H])(C([H])([H])[H])C1([H])OC2([H])C([H])(C([H])=C1[H])C1=C(C([H])([H])OC1=O)C1([H])OC2(C([H])([H])[H])S1=O,True
29,0,1,29:0:1,-3.06234,[H]OC(C([H])([H])[H])(C([H])([H])[H])C1([H])OC2([H])C([H])(C([H])=C1[H])C1=C(C([H])([H])OC1=O)C1([H])OC2(C([H])([H])[H])S1=O,False
29,0,2,29:0:2,-2.9974,[H]OC(C([H])([H])[H])(C([H])([H])[H])C1([H])OC2([H])C([H])(C([H])=C1[H])C1=C(C([H])([H])OC1=O)C1([H])OC2(C([H])([H])[H])S1=O,False
39,0,0,39:0:0,-3.51168,[H]OC1([H])C([H])([H])OC([H])(OC2([H])C(=O)C3(C([H])([H])[H])S(=O)C4([H])C5(C([H])([H])[H])OC5([H])C5([H])C(O[H])(C([H])([H])C6=C([H])C7(OC62C([H])([H])[H])C([H])=C([H])C([H])([H])C2(O[H])C([H])([H])C([H])([H])C(=O)C2(C([H])([H])[H])C7([H])O[H])C2(C([H])([H])OC6(O[H])C5(C([H])([H])[H])C([H])([H])C([H])([H])C3([H])C64C([H])([H])[H])C([H])([H])C(=C([H])[H])C([H])([H])C2([H])O[H])C([H])(O[H])C1([H])O[H],True
40,0,0,40:0:0,-3.3774,[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C(=O)C3(O[H])C([H])([H])C4=C([H])C(C([H])([H])[H])(C([H])([H])[H])OC4(C([H])([H])[H])C([H])(O[H])C4(O[H])C56C([H])=C([H])S(=O)C5([H])C([H])(C([H])([H])[H])C([H])([H])C5(C([H])([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C5([H])C(C([H])(O[H])C3([H])[H])(C16O[H])C42C([H])([H])OC(=O)N([H])C([H])([H])c1c([H])nc([H])c([H])c1[H],True
40,0,1,40:0:1,-3.25441,[H]OC1([H])C([H])([H])C([H])([H])C2(C([H])([H])[H])C(=O)C3(O[H])C([H])([H])C4=C([H])C(C([H])([H])[H])(C([H])([H])[H])OC4(C([H])([H])[H])C([H])(O[H])C4(O[H])C56C([H])=C([H])S(=O)C5([H])C([H])(C([H])([H])[H])C([H])([H])C5(C([H])([H])[H])C(=O)C(C([H])=C([H])[H])(C([H])([H])[H])C([H])([H])C5([H])C(C([H])(O[H])C3([H])[H])(C16O[H])C42C([H])([H])OC(=O)N([H])C([H])([H])c1c([H])nc([H])c([H])c1[H],False
44,0,0,44:0:0,-2.4981,[H]OC([H])(C([H])([H])[H])C([H])([H])C1([H])OC2([H])C3(O[H])C([H])(OC(=O)C([H])([H])[H])C2(C([H])([H])[H])C([H])(O[H])C2(O[H])OC([H])([H])C4(O[H])C25S(=O)C([H])(C2(C([H])([H])[H])OC2([H])C4(C([H])([H])[H])C13[H])C12C([H])([H])C(C([H])([H])[H])(C1([H])[H])C5(O[H])C1(C(=C([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])C2([H])OC([H])([H])[H],True
